bestObjID,RA,DEC,z
1237671939804561434,258.02787,64.040384,0.15091
1237671939804561862,258.02928,64.05549,0.08279845
1237671939804561897,258.03354,64.097415,0.07967802
1237671939804561900,258.07722,64.008077,0.0809986
1237671939804561487,258.08067,64.035634,0.08268053
1237671939804561468,258.09657,64.032519,0.07981008
0,258.09994,64.059493,0.08627383
1237671939804561491,258.10986,64.082134,0.07948642
1237671939804561478,258.11782,64.031104,0.08687139
1237671939804561948,258.11967,64.109101,0.07412706
1237671939804561476,258.12006,64.060761,0.07343803
1237671939804561934,258.12711,64.016596,0.08224989
1237671939804561928,258.13222,63.997333,0.07837883
1237671939804561483,258.13376,64.038556,0.08280216
1237671939804561927,258.13516,64.002787,0.0849261
1237671939804561492,258.13856,64.071678,0.08442297
1237671939804561964,258.14202,64.097222,0.07617816
1237671939804561485,258.15028,64.085551,0.0827946
1237671939804561472,258.17109,64.07271,0.08358134
1237671939804561484,258.18179,64.053546,0.08562605
1237671939804561470,258.20851,64.052953,0.07399382
1237671939804561475,258.21347,64.073183,0.07390364
1237671939804561603,258.22681,63.992408,0.08291385
1237671939804561997,258.23101,64.029253,0.08105769
1237671939804561999,258.23112,64.032429,0.08127932
1237671939804561642,258.24041,64.051036,0.07399645
1237671939804561641,258.2555,64.048092,0.08250701
1237671939804627262,258.27283,64.091241,0.08216956
1237671939804627834,258.28084,64.083642,0.4574551
1237671939804627279,258.30379,64.028753,0.07704972
1237671939804626957,258.31944,64.055688,0.07462378
1237671939804627307,258.32931,64.076861,0.08112399
1237671939804626961,258.33324,64.056802,0.07682644
1237671939804627298,258.33535,64.009444,0.07988858
1237671939804627306,258.34049,64.069079,0.07623031
1237671939804626959,258.37128,64.046858,0.07844017
1237671939804626963,258.375,64.043936,-0.0001225879
