,objID,modelMag_u,modelMag_g,modelMag_r,RA_x,DEC_x,type,bestObjID,RA_y,DEC_y,z,u_g,g_r
0,1.237651297648247e+18,22.373,19.25507,18.34895,258.17561585674,64.01643922902471,3.0,,,,,3.117930000000001,0.9061200000000014
3,1.2376719398046282e+18,24.2827,23.22569,22.343529999999998,258.31165309439604,63.9988526703746,3.0,,,,,1.0570099999999982,0.8821600000000025
4,1.2376719398046272e+18,24.637320000000003,23.13597,22.235670000000002,258.313143941635,64.0667555383081,3.0,,,,,1.5013500000000022,0.9002999999999979
6,1.2376719398045624e+18,22.785320000000002,22.32227,20.95516,258.175720109909,64.0334585328912,3.0,,,,,0.4630500000000026,1.3671100000000003
7,1.2376719398045624e+18,22.91893,22.21934,22.02698,258.113923183005,64.0990388981778,3.0,,,,,0.6995900000000006,0.19236000000000075
8,1.2376719398045624e+18,24.444110000000002,22.2908,21.79786,258.041549448238,64.0489018597433,3.0,,,,,2.153310000000001,0.4929400000000008
9,1.2376719398045622e+18,21.258589999999998,20.397470000000002,19.8231,258.17613205142203,64.024716591203,3.0,,,,,0.8611199999999961,0.5743700000000018
12,1.2376719398045617e+18,22.23261,25.11438,24.802020000000002,258.17574574520097,64.01647100562549,3.0,,,,,-2.8817699999999995,0.3123599999999982
13,1.2376719398045614e+18,22.73868,20.484270000000002,19.626089999999998,258.113882490366,64.0340045847573,3.0,,,,,2.2544099999999965,0.8581800000000044
17,1.2376512976483128e+18,22.10131,21.451060000000002,20.81318,258.17562724376,64.00498646461159,3.0,,,,,0.6502499999999998,0.6378800000000027
19,1.2376512976482478e+18,23.84941,22.57594,21.3268,258.041490110776,64.0488595758121,3.0,,,,,1.2734699999999997,1.2491400000000006
21,1.2376512976482476e+18,21.20468,20.397679999999998,19.79506,258.176184649628,64.0247248151555,3.0,,,,,0.8070000000000022,0.6026199999999982
24,1.2376719398046282e+18,24.34636,23.16945,22.01393,258.311351933447,64.0418944891297,3.0,,,,,1.1769099999999995,1.1555200000000028
25,1.2376719398045624e+18,22.22379,21.44444,20.60001,258.175525031956,64.0049491722851,3.0,,,,,0.7793500000000009,0.8444299999999991
27,1.237671939804562e+18,18.508760000000002,16.4937,15.54861,258.135151500146,64.0028043255508,3.0,1.237671939804562e+18,258.13516,64.002787,0.0849261,2.015060000000002,0.9450900000000004
29,1.237671939804563e+18,25.38175,22.83611,21.75309,258.220576501753,64.0260660602286,3.0,,,,,2.545639999999999,1.0830200000000012
30,1.2376719398045627e+18,22.07244,22.36415,21.441029999999998,258.26118850432005,64.00572003485911,3.0,,,,,-0.29170999999999836,0.9231200000000008
31,1.2376719398045627e+18,23.51765,21.917070000000002,21.25225,258.221450117942,64.0352959074202,3.0,,,,,1.6005799999999972,0.6648200000000024
32,1.2376719398045624e+18,21.715339999999998,21.88883,21.4893,258.134742491198,64.0127523958548,3.0,,,,,-0.17349000000000103,0.3995299999999986
33,1.2376719398045622e+18,21.94826,20.78845,20.31946,258.26139626646403,64.0141335058643,3.0,,,,,1.1598100000000002,0.4689900000000016
35,1.2376719398045622e+18,21.69815,20.0406,19.25531,258.07160038907,64.0887168331039,3.0,,,,,1.657549999999997,0.7852899999999998
36,1.237671939804562e+18,25.18066,23.18167,22.649079999999998,258.135182232238,63.994627900728204,3.0,,,,,1.9989899999999992,0.5325900000000026
38,1.2376719398045617e+18,23.60674,23.07467,21.937839999999998,258.22149102100497,64.0575147914399,3.0,,,,,0.5320699999999974,1.1368300000000033
39,1.2376719398045617e+18,21.345229999999997,20.38214,20.05288,258.220449660988,64.05494856269921,3.0,,,,,0.9630899999999976,0.32926000000000144
42,1.2376512976483128e+18,22.16985,20.70251,20.33836,258.261442539857,64.01415642030071,3.0,,,,,1.46734,0.36414999999999864
43,1.2376512976483126e+18,18.34216,16.440379999999998,15.49345,258.135187273839,64.00279713386949,3.0,,,,,1.9017800000000022,0.9469299999999983
45,1.2376512976482478e+18,23.9114,22.628220000000002,21.47256,258.22134845959704,64.0352304193086,3.0,,,,,1.283179999999998,1.155660000000001
46,1.2376512976482476e+18,21.57143,19.91518,19.1039,258.071634947985,64.0887262237897,3.0,,,,,1.65625,0.81128
51,1.2376719398045617e+18,18.14211,16.190260000000002,15.26385,258.226782216971,63.992417678229295,3.0,1.2376719398045617e+18,258.22681,63.992408,0.08291385,1.9518499999999968,0.9264100000000024
52,1.2376719398045617e+18,22.0037,21.535020000000003,20.92018,258.226698786673,64.0006023281425,3.0,,,,,0.46867999999999554,0.6148400000000045
53,1.2376719398045617e+18,21.20975,19.320970000000003,18.44257,258.226396589609,64.0547105400413,3.0,,,,,1.888779999999997,0.8784000000000027
54,1.2376719398046272e+18,18.6956,16.64821,15.709529999999999,258.340516614136,64.0690707198408,3.0,1.2376719398046272e+18,258.34049,64.069079,0.07623031,2.04739,0.9386799999999997
56,1.2376719398046277e+18,25.92566,24.03144,22.421329999999998,258.37384508197897,64.0139434451201,3.0,,,,,1.8942200000000007,1.6101100000000024
57,1.2376719398046275e+18,20.042460000000002,19.03974,18.731379999999998,258.372832345727,64.0611400179977,3.0,,,,,1.0027200000000036,0.3083600000000004
59,1.237671939804627e+18,25.33011,21.943720000000003,24.71497,258.37303182320096,64.0412298306407,3.0,,,,,3.3863899999999987,-2.7712499999999984
60,1.237671939804627e+18,24.18808,21.618570000000002,20.609,258.37372904659304,64.0373936890684,3.0,,,,,2.5695099999999975,1.00957
65,1.2376719398045614e+18,24.39392,23.22038,18.996920000000003,258.08535506464,64.0647713335134,3.0,,,,,1.1735400000000027,4.223459999999996
66,1.2376719398045614e+18,21.45423,19.216070000000002,18.09112,258.084024628304,64.02361783794379,3.0,,,,,2.238159999999997,1.124950000000002
67,1.2376719398045614e+18,20.49239,18.46602,17.57934,258.157927012411,64.08875920548321,3.0,,,,,2.02637,0.8866800000000019
69,1.2376513110700198e+18,20.16724,19.055970000000002,18.74585,258.372877130397,64.0611273585788,3.0,,,,,1.1112699999999975,0.3101200000000013
71,1.2376513110700196e+18,18.61215,16.53204,15.588429999999999,258.340529737049,64.0690792697354,3.0,,,,,2.0801100000000012,0.9436099999999996
73,1.2376512976483128e+18,21.62679,21.05278,20.3525,258.22676433577703,64.00058286795,3.0,,,,,0.5740100000000012,0.7002799999999993
74,1.2376512976483123e+18,18.0894,16.16508,15.25341,258.226818727318,63.992418224773296,3.0,,,,,1.9243200000000016,0.9116699999999991
77,1.2376512976482473e+18,20.8354,18.807270000000003,17.8457,258.084088102828,64.0236174388214,3.0,,,,,2.0281299999999973,0.9615700000000018
79,1.237651297648247e+18,21.569000000000003,19.44785,18.51737,258.226444068075,64.0547245654337,3.0,,,,,2.1211500000000036,0.9304799999999993
80,1.237651297648247e+18,20.4273,18.52713,17.610129999999998,258.15795848638,64.0887753375497,3.0,,,,,1.9001699999999992,0.9170000000000016
81,1.2376719398046285e+18,25.27308,22.79811,22.20761,258.34173103392396,64.1010776586412,3.0,,,,,2.474969999999999,0.5905000000000022
82,1.237671939804628e+18,24.29353,22.86287,23.1997,258.34191586805304,64.01846122859979,3.0,,,,,1.4306599999999996,-0.3368299999999991
85,1.237651297648247e+18,24.81702,22.52594,21.82716,258.158276054515,64.0721399065246,3.0,,,,,2.291080000000001,0.6987799999999993
86,1.2376719398045614e+18,19.22808,17.19313,16.26248,258.213356606074,64.0731695719281,3.0,1.2376719398045614e+18,258.21347000000003,64.073183,0.07390364,2.0349499999999985,0.93065
88,1.237671939804628e+18,21.737679999999997,21.163870000000003,20.45894,258.362946598147,64.08711278992,3.0,,,,,0.5738099999999946,0.7049300000000045
89,1.2376719398046277e+18,20.739720000000002,19.72159,19.039720000000003,258.363268125422,64.0035580981997,3.0,,,,,1.0181300000000029,0.6818699999999964
94,1.2376719398045627e+18,26.0586,23.16938,22.19294,258.053393603759,64.0225128314419,3.0,,,,,2.889219999999998,0.9764400000000002
96,1.2376719398045624e+18,21.87444,22.02637,20.34897,258.05359250642005,63.994902067984,3.0,,,,,-0.15193000000000012,1.6773999999999987
101,1.2376719398045614e+18,23.53041,20.34925,19.45041,258.05438696092097,64.0318608353534,3.0,,,,,3.1811599999999984,0.8988399999999999
102,1.2376719398045614e+18,21.74025,19.55671,18.74655,258.213639158508,64.0770535953709,3.0,,,,,2.1835400000000007,0.8101599999999998
104,1.2376719398045614e+18,21.27358,19.56205,18.74035,258.140483489958,64.0675769249678,3.0,,,,,1.7115299999999998,0.8216999999999999
105,1.23765131107002e+18,20.79467,19.67511,19.05443,258.363304439098,64.0036175395329,3.0,,,,,1.1195599999999999,0.6206800000000001
107,1.2376512976483123e+18,23.144000000000002,24.19661,22.60758,258.214082186675,63.9906817142702,3.0,,,,,-1.0526099999999978,1.589030000000001
108,1.2376512976482478e+18,26.34173,22.59287,20.5924,258.214260251617,64.06909433591521,3.0,,,,,3.748859999999997,2.00047
109,1.2376512976482478e+18,25.46971,23.04684,21.40387,258.21442648962,64.0845840239956,3.0,,,,,2.4228699999999996,1.6429699999999983
110,1.2376512976482478e+18,22.52276,21.72516,20.42107,258.053599072835,63.9948011831819,3.0,,,,,0.7976000000000028,1.3040899999999986
113,1.2376512976482473e+18,24.1503,20.96936,20.170370000000002,258.054411478675,64.0319175701172,3.0,,,,,3.1809399999999997,0.7989899999999999
116,1.237651297648247e+18,24.64066,20.01928,19.18384,258.213813336866,64.0770520915619,3.0,,,,,4.621380000000002,0.8354399999999984
118,1.237651297648247e+18,20.54857,19.01567,24.80205,258.14051305031,64.0675627101677,3.0,,,,,1.5329000000000015,-5.786380000000001
119,1.237651297648247e+18,19.211570000000002,17.19166,16.2393,258.21338938424,64.0731868783271,3.0,,,,,2.019910000000003,0.9523599999999988
122,1.2376719398045627e+18,23.34617,22.799670000000003,22.262539999999998,258.214248459972,64.08445897371571,3.0,,,,,0.5464999999999982,0.5371300000000048
